"Job ID";"Internal ID";"Task ID";"Project ID";"Source";"Target";"Created";"Created by";"Job due date";"Project due date";"File";"Extension";"Workflow";"Workflow level";"Job status";"Job status changed";"Project status";"Project status changed";"Linguist";"Vendor";"Wordcount";"Currency";"Rate";"Price";"Owner";"Client";"Domain";"Subdomain";"Cost Center";"Business Unit"
"202091847";"6";"PFAbqJCyNyisMQIn_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"es_es";"26-05-2020 15:06:24";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091848";"7";"QFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"es_us";"26-05-2020 15:06:25";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091849";"7";"QFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"es_us";"26-05-2020 15:06:25";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091850";"8";"RFAbqJCyNyisMQIn_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"fr_ca";"26-05-2020 15:06:25";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091851";"8";"RFAbqJCyNyisMQIn_dc5";"NoqNikU7aEb69lFxC7ufF3";"en";"fr_ca";"26-05-2020 15:06:25";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091852";"9";"SFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"fr_fr";"26-05-2020 15:06:25";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Translation";"1";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202091853";"9";"SFAbqJCyNyisMQIn_dc6";"NoqNikU7aEb69lFxC7ufF3";"en";"fr_fr";"26-05-2020 15:06:25";"dk_support";"";"26-05-2020 08:00:00";"test_missing_lg.xlsx";"xlsx";"Revision";"2";"NEW";"";"NEW";"";"";"";"7";"";"0";"0";"dk_support";"";"";"";"";""
"202130004";"23";"SKxmqJCyNy2BzSIn_dc5";"otf2Uj0PHCQKhWRGdE9ZS4";"en";"ko_kr";"26-05-2020 23:17:38";"bg_support";"";"";"fuzzy sample.xliff";"xliff";"";"1";"NEW";"";"NEW";"";"";"";"2";"";"0";"0";"bg_support";"";"";"";"";""
"202159476";"1";"BUtBqJCyNy2JTTIn_dc5";"bK9iC2eCUWHYeVxQohxku0";"en";"ko";"27-05-2020 05:16:35";"ji_support";"";"";"TEST FILE EN.docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"172";"";"0";"0";"ji_support";"";"";"";"";""
"202159676";"2";"5BABqJCyNyizUTIn_dc6";"bK9iC2eCUWHYeVxQohxku0";"en";"ko";"27-05-2020 05:20:11";"ji_support";"";"";"TEST FILE EN2.docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"188";"";"0";"0";"ji_support";"";"";"";"";""
"202167685";"1";"VDRRYEwCihLjdUIn_dc6";"5ESGQEssb5Um4FLId8ZrS0";"ja_jp";"en_us";"27-05-2020 06:48:45";"ji_support";"";"27-05-2020 08:48:50";"testJPN.docx";"docx";"Translation";"1";"EMAILED";"27-05-2020 06:51:41";"NEW";"";"Memtarou3";"";"95";"";"0";"0";"ji_support";"";"";"";"";""
"202167686";"1";"VDRRYEwCihLjdUIn_dc6";"5ESGQEssb5Um4FLId8ZrS0";"ja_jp";"en_us";"27-05-2020 06:48:45";"ji_support";"";"27-05-2020 08:48:50";"testJPN.docx";"docx";"Revision";"2";"NEW";"";"NEW";"";"";"";"95";"";"0";"0";"ji_support";"";"";"";"";""
"202169116";"1";"xzWfn6OCnynfhUIn_dc6";"0H3qVlOF0iHhlQTFa01JLF";"ja_jp";"en_us";"27-05-2020 07:05:32";"ji_support";"";"27-05-2020 09:05:37";"testJPN.docx";"docx";"Translation";"1";"EMAILED";"27-05-2020 07:07:07";"NEW";"";"Memtarou3";"";"95";"";"0";"0";"ji_support";"";"";"";"";""
"202169117";"1";"xzWfn6OCnynfhUIn_dc6";"0H3qVlOF0iHhlQTFa01JLF";"ja_jp";"en_us";"27-05-2020 07:05:32";"ji_support";"";"27-05-2020 09:05:37";"testJPN.docx";"docx";"Revision";"2";"NEW";"";"NEW";"";"";"";"95";"";"0";"0";"ji_support";"";"";"";"";""
"202177088";"1";"0rRxRqd5z55EhNpL0_dc6";"1PoxgTvrfTg3tGtRD1g1Hl";"en_us";"es_ar";"27-05-2020 08:46:07";"MirekK";"";"";"7776-s250abioal0201=no images.doc.docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"5997";"";"0";"0";"MirekK";"";"";"";"";""
"202177089";"2";"1rRxRqd5z55EhNpL0_dc5";"1PoxgTvrfTg3tGtRD1g1Hl";"en_us";"es_ar";"27-05-2020 08:46:07";"MirekK";"";"";"7776-s260bioal0501-no images.doc.docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"7737";"";"0";"0";"MirekK";"";"";"";"";""
"202177090";"3";"0sRxRqd5z55EhNpL0_dc6";"1PoxgTvrfTg3tGtRD1g1Hl";"en_us";"es_ar";"27-05-2020 08:46:07";"MirekK";"";"";"7776-s260bioal0601-no images.doc.docx";"docx";"";"1";"NEW";"";"NEW";"";"";"";"5819";"";"0";"0";"MirekK";"";"";"";"";""
"202178841";"1";"Fzymn6OCnyTUFUIn_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (2) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"lg.petr.postman";"";"592";"EUR";"0";"0";"petr.janacek1";"";"";"";"";""
"202178842";"2";"Hzymn6OCnyTUFUIn_dc5";"AKnyHTQu9jpf02vDXI6gi4";"en";"de";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (2) - Copy.docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"lg.petr.postman";"";"592";"EUR";"0";"0";"petr.janacek1";"";"";"";"";""
"202178843";"3";"Izymn6OCnyTUFUIn_dc6";"AKnyHTQu9jpf02vDXI6gi4";"en";"cs";"27-05-2020 08:50:42";"petr.janacek1";"";"";"EN_abstract_Including_NT-en-de-T - Copy (2).docx";"docx";"Translation";"1";"NEW";"";"NEW";"";"lg.petr.postman";"";"592";"EUR";"0";"0";"petr.janacek1";"";"";"";"";""
